"id","num_facture","ref","designation","qte","prix_unit","montant","tva"
"1","23/0805","C13T00S44A","EPSON Bouteille D'encre ECOTANK 103 -Jaune","1","34","34","19 %"
"2","23/0805","CT3TOOS34A","EPSON Bouteille D'éncre ECOTANK 103 - Magenta","1","34","34","19 %"
"3","23/0805","C13T00S24A","EPSON Bouteille D'encre ECOTANK 103 - Cyan","1","34","34","19 %"
"4","23/0805","C13T00S14A","EPSON Bouteille D'encre ECOTANK 103 - Noir","1","34","34","19 %"
"5","23/0687","CZ102AE","Cartouche HP COULEUR N°650 pour 2515-1050","1","55","55","19 %"
"6","23/0687","CLS-7100RF","ADVANCE ELITE COMBO PACK CLAV+SOUR+TAPIS","5","48","240","7 %"
"7","23/0687","ADAP-DISPLAY","ADAPTATEUR DISPLAY PORT M TO VGA F","2","30","60","19 %"
"8","23/0683","151559","Converstisseur HDMI male TO VGA female with audio","2","66","132","19 %"
"9","23/0683","CZ102AE","Cartouche HP COULEUR N°650 pour 2515-1050","1","55","55","19 %"
"10","23/0683","CLS-7100RF","ADVANCE ELITE COMBO PACK CLAV+SOUR+TAPIS","5","48","240","7 %"
"11","23/0683","MIC-S765","ADVANCE CASQUE MICRO PC","5","27","135","19 %"
"12","F21103099","SAD505-BK-BL","SAC A DOS POUR PC PORTABLE","4","14.9","50.084","19 %"
"13","23/1162","DUB-E130","D-LINK Adaptateur USB-C to RJ45 Gigabit Ethernet","2","100","200","19 %"
"19","23/1737","90LM0O2VW5-B033","ASUS ECRAN VA249HE FULL HD 23.8","2","355","710","7 %"
"20","23/1737","90LM02Q4-B016","ASUS VZ249HE-W 23.8 LED Full HD Blanc","1","435","435","7 %"
"21","23/1737","Z4BO04A","HP Imprimante Ink Tank 315 3en1 Couleur","1","399","399","7 %"
"22","23/1737","910-004424","Logitech Wireless Mouse M171 Black","3","32","96","7 %"
"23","23/1737","TL-LE200","TP-LINK Adaptateur USB 2.0 vers RJ45","3","59","177","19 %"
"24","23/2212","TL-LS1008","TP-LINK SWITCH 8 PORTS 10/100 MBps","1","37.815","37.815","19 %"
"25","23/0687","MIC-S765","ADVANCE CASQUE MICRO PC","5","27.9","135","19 %"
"27","23/0683","90LM054S-B013","JASUS ECRAN VA24DQ BK/5MS/EU/DSUB+HDMI+DP+","3","489","1467","7 %"
"26","23/0687","90LM054S-B013","ASUS ECRAN VA24DQ BK/5MS/EU/DSUB+HDMI+DP+","3","489","1467","7 %"
